,timestamp_leitura,left_data_Ac_X,left_data_Ac_Y,left_data_Ac_Z,left_data_Gy_X,left_data_Gy_Y,left_data_Gy_Z
10,2023-04-21 20:11:01.223627,3.253720045,1.41018486,8.832210541,-0.105252676,0.017320061,-0.012257273
11,2023-04-21 20:11:01.223627,3.256114244,1.41018486,8.832210541,-0.104986221,0.017053599,-0.012257273
12,2023-04-21 20:11:01.223627,3.253720045,1.41018486,8.829815865,-0.104453288,0.017320061,-0.012523737
13,2023-04-21 20:11:01.223627,3.258508444,1.41257906,8.827422142,-0.104186833,0.017320061,-0.012790199
14,2023-04-21 20:11:01.223627,3.258508444,1.414973259,8.827422142,-0.103920363,0.017320061,-0.012790199
0,2023-04-21 20:11:01.246680,3.287238836,1.493981838,8.825027466,-0.097791731,0.018918836,-0.010924961
1,2023-04-21 20:11:01.246680,3.284844637,1.498770237,8.825027466,-0.098324656,0.018918836,-0.010924961
2,2023-04-21 20:11:01.246680,3.284844637,1.501164436,8.829815865,-0.098324656,0.019185297,-0.010658499
3,2023-04-21 20:11:01.246680,3.284844637,1.508347034,8.834604263,-0.098591112,0.019185297,-0.010658499
4,2023-04-21 20:11:01.246680,3.284844637,1.510741234,8.846575737,-0.098857582,0.019185297,-0.010658499
5,2023-04-21 20:11:01.246680,3.284844637,1.513135433,8.853757858,-0.099124044,0.019185297,-0.010658499
6,2023-04-21 20:11:01.246680,3.280056238,1.517923832,8.860940933,-0.099124044,0.019451762,-0.010392036
7,2023-04-21 20:11:01.246680,3.277662039,1.517923832,8.863334656,-0.099390499,0.019451762,-0.010392036
8,2023-04-21 20:11:01.246680,3.280056238,1.520318031,8.865729332,-0.099923424,0.019185297,-0.010392036
9,2023-04-21 20:11:01.246680,3.277662039,1.52510643,8.865729332,-0.100189894,0.019185297,-0.010125575
10,2023-04-21 20:11:01.246680,3.275267839,1.52510643,8.865729332,-0.100456357,0.019185297,-0.009859112
11,2023-04-21 20:11:01.246680,3.277662039,1.52510643,8.860940933,-0.100989282,0.019451762,-0.009592649
