,timestamp_leitura,left_data_Ac_X,left_data_Ac_Y,left_data_Ac_Z,left_data_Gy_X,left_data_Gy_Y,left_data_Gy_Z
11,1683959046.6282732,1.403002143,-0.08379706,9.26556015,-0.104719758,0.022116385,-0.012790199
12,1683959046.6282732,1.403002143,-0.08379706,9.260771751,-0.104986221,0.022116385,-0.012790199
13,1683959046.6282732,1.405396342,-0.08379706,9.263166428,-0.104986221,0.022116385,-0.012790199
14,1683959046.6282732,1.407790542,-0.08379706,9.263166428,-0.104986221,0.021849923,-0.012790199
0,1683959046.699233,1.395819545,-0.074220255,9.270348549,-0.104986221,0.022116385,-0.012790199
1,1683959046.699233,1.395819545,-0.076614454,9.26556015,-0.104986221,0.021849923,-0.012523737
2,1683959046.699233,1.398213744,-0.076614454,9.267954826,-0.104986221,0.021849923,-0.012790199
3,1683959046.699233,1.398213744,-0.074220255,9.26556015,-0.104986221,0.021849923,-0.012790199
4,1683959046.699233,1.398213744,-0.074220255,9.267954826,-0.104986221,0.02158346,-0.012790199
5,1683959046.699233,1.400607944,-0.076614454,9.272743225,-0.104719758,0.021849923,-0.012790199
6,1683959046.699233,1.400607944,-0.079008654,9.272743225,-0.104719758,0.02158346,-0.012790199
7,1683959046.699233,1.398213744,-0.08379706,9.272743225,-0.104986221,0.021849923,-0.013056661
8,1683959046.699233,1.398213744,-0.08379706,9.270348549,-0.104986221,0.021849923,-0.013056661
9,1683959046.699233,1.398213744,-0.086191259,9.272743225,-0.104986221,0.022116385,-0.013056661
10,1683959046.699233,1.400607944,-0.08379706,9.277531624,-0.104986221,0.022116385,-0.013056661
11,1683959046.699233,1.400607944,-0.086191259,9.272743225,-0.104986221,0.022116385,-0.013056661
12,1683959046.699233,1.403002143,-0.086191259,9.275136948,-0.104986221,0.022116385,-0.012790199
13,1683959046.699233,1.403002143,-0.086191259,9.275136948,-0.104986221,0.022116385,-0.013056661
14,1683959046.699233,1.403002143,-0.086191259,9.279925346,-0.104986221,0.022116385,-0.012790199
0,1683959046.7442057,1.403002143,-0.081402861,9.26556015,-0.104986221,0.021849923,-0.013056661
1,1683959046.7442057,1.403002143,-0.081402861,9.26556015,-0.104986221,0.022116385,-0.013056661
2,1683959046.7442057,1.403002143,-0.08379706,9.267954826,-0.105252676,0.021849923,-0.013056661
3,1683959046.7442057,1.403002143,-0.079008654,9.26556015,-0.105252676,0.021849923,-0.013056661
4,1683959046.7442057,1.403002143,-0.076614454,9.270348549,-0.105252676,0.022116385,-0.012790199
5,1683959046.7442057,1.403002143,-0.079008654,9.270348549,-0.105252676,0.021849923,-0.012790199
6,1683959046.7442057,1.403002143,-0.079008654,9.275136948,-0.105252676,0.021849923,-0.012790199
7,1683959046.7442057,1.400607944,-0.081402861,9.279925346,-0.104986221,0.021849923,-0.012790199
8,1683959046.7442057,1.400607944,-0.081402861,9.282320023,-0.105252676,0.021849923,-0.012790199
9,1683959046.7442057,1.403002143,-0.081402861,9.279925346,-0.105252676,0.021849923,-0.012790199
10,1683959046.7442057,1.403002143,-0.079008654,9.282320023,-0.105252676,0.021849923,-0.012523737
11,1683959046.7442057,1.403002143,-0.079008654,9.284713745,-0.105252676,0.021849923,-0.012523737
12,1683959046.7442057,1.405396342,-0.079008654,9.284713745,-0.105252676,0.02158346,-0.012523737
13,1683959046.7442057,1.405396342,-0.076614454,9.277531624,-0.105252676,0.02158346,-0.012523737
14,1683959046.7442057,1.407790542,-0.079008654,9.267954826,-0.105519146,0.021849923,-0.012790199
0,1683959046.7801912,1.395819545,-0.081402861,9.275136948,-0.104986221,0.020251149,-0.012790199
1,1683959046.7801912,1.398213744,-0.08379706,9.275136948,-0.105252676,0.019718224,-0.012790199
2,1683959046.7801912,1.398213744,-0.086191259,9.272743225,-0.105252676,0.019451762,-0.012790199
3,1683959046.7801912,1.403002143,-0.086191259,9.279925346,-0.105252676,0.019185297,-0.012790199
