,timestamp,left_data_Ac_X,left_data_Ac_Y,left_data_Ac_Z,left_data_Gy_X,left_data_Gy_Y,left_data_Gy_Z,left_data_flex_1,left_data_flex_2,left_data_flex_3,left_data_flex_4,left_data_flex_5
4,1693677649802824300,1.028309584,-0.845153213,10.27471638,-0.06261868,-0.001998469,-0.008660031,-25,41,83,8,-9
0,1693677649819809400,1.021126986,-0.847547412,10.26873112,-0.062485453,-0.001732006,-0.008793262,-27,43,89,8,-8
1,1693677649820809400,1.022324085,-0.849941611,10.26513958,-0.06261868,-0.001732006,-0.008660031,-27,51,89,6,-11
2,1693677649821809400,1.022324085,-0.851138711,10.26513958,-0.062485453,-0.001732006,-0.008660031,-20,43,90,9,-9
3,1693677649822809400,1.021126986,-0.845153213,10.26035118,-0.062485453,-0.001598775,-0.008660031,-24,42,84,12,-9
4,1693677649823809400,1.022324085,-0.847547412,10.25915432,-0.062485453,-0.001732006,-0.008660031,-23,44,86,8,-12
0,1693677649838798000,1.022324085,-0.858321309,10.25197124,-0.062485453,-0.001998469,-0.009326187,-22,47,89,10,-5
1,1693677649839798000,1.028309584,-0.85353291,10.25556278,-0.062352221,-0.001998469,-0.009326187,-23,46,85,11,-13
2,1693677649840798000,1.028309584,-0.852335811,10.25436592,-0.062485453,-0.001998469,-0.009059724,-30,43,87,7,-10
3,1693677649841798000,1.027112484,-0.849941611,10.25077438,-0.062485453,-0.0021317,-0.009059724,-30,35,85,8,-13
4,1693677649842798000,1.028309584,-0.852335811,10.24718285,-0.062485453,-0.001865237,-0.008926493,-25,42,84,10,-8
0,1693677649855813200,1.019929886,-0.848744512,10.27232265,-0.062085759,-0.001598775,-0.008926493,-22,51,88,3,-4
1,1693677649856813200,1.022324085,-0.847547412,10.27351952,-0.062085759,-0.001732006,-0.008660031,-23,41,83,7,-11
2,1693677649857813200,1.022324085,-0.851138711,10.27351952,-0.062085759,-0.001598775,-0.008660031,-21,41,87,13,-7
3,1693677649858813200,1.022324085,-0.852335811,10.27112484,-0.062085759,-0.001598775,-0.008793262,-23,46,87,11,-9
4,1693677649859813200,1.023521185,-0.849941611,10.27112484,-0.062218986,-0.001465544,-0.008926493,-23,49,84,11,-8
0,1693677650174380900,1.024718285,-0.845153213,10.26992798,-0.062218986,-0.001465544,-0.008393568,-26,41,79,8,-15
1,1693677650175380900,1.022324085,-0.848744512,10.26753426,-0.062218986,-0.001598775,-0.008393568,-26,44,85,7,-9
2,1693677650176380900,1.023521185,-0.851138711,10.26513958,-0.062218986,-0.001465544,-0.008393568,-28,41,85,8,-9
3,1693677650177380900,1.024718285,-0.849941611,10.26154804,-0.062218986,-0.001332312,-0.008393568,-21,41,88,13,-7
