timestamp,EMG_s0,EMG_s1,EMG_s2,EMG_s3,EMG_s4,EMG_s5,EMG_s6,EMG_s7,right_data_Ac_X,right_data_Ac_Y,right_data_Ac_Z,right_data_Gy_X,right_data_Gy_Y,right_data_Gy_Z,left_data_Ac_X,left_data_Ac_Y,left_data_Ac_Z,left_data_Gy_X,left_data_Gy_Y,left_data_Gy_Z
1689140535165969100,-3.0,-4.0,19.0,3.0,4.0,-2.0,-4.0,17.0,,,,,,,,,,,,
1689140535166968500,-3.0,-18.0,-37.0,-1.0,-2.0,-1.0,-14.0,-43.0,,,,,,,,,,,,
1689140535171963100,5.0,-13.0,19.0,4.0,-1.0,-1.0,-2.0,-51.0,,,,,,,,,,,,
1689140535172986300,-15.0,11.0,-4.0,3.0,-3.0,-4.0,-1.0,7.0,,,,,,,,,,,,
1689140535188954400,5.0,4.0,-5.0,-10.0,-7.0,-6.0,-13.0,-15.0,,,,,,,,,,,,
1689140535189956700,-9.0,2.0,-10.0,-5.0,-2.0,-3.0,6.0,20.0,,,,,,,,,,,,
1689140535191955400,-8.0,-23.0,19.0,2.0,-2.0,-2.0,-3.0,-10.0,,,,,,,,,,,,
1689140535192952200,-18.0,5.0,-15.0,-7.0,-3.0,0.0,6.0,41.0,,,,,,,,,,,,
1689140535203947400,69.0,15.0,2.0,-3.0,1.0,0.0,-5.0,-46.0,,,,,,,,,,,,
1689140535205946800,1.0,6.0,-7.0,7.0,1.0,0.0,-1.0,20.0,,,,,,,,,,,,
1689140535233943800,22.0,-12.0,-10.0,-8.0,-1.0,-1.0,0.0,41.0,,,,,,,,,,,,
1689140535236927800,-6.0,-21.0,17.0,8.0,-5.0,-4.0,-11.0,-43.0,,,,,,,,,,,,
1689140535237926300,-17.0,-8.0,-23.0,-3.0,-3.0,-2.0,0.0,3.0,,,,,,,,,,,,
1689140535238925200,-8.0,-1.0,32.0,11.0,2.0,0.0,0.0,-20.0,,,,,,,,,,,,
1689140535239940300,28.0,25.0,-26.0,-12.0,-5.0,-5.0,-3.0,-49.0,,,,,,,,,,,,
1689140535241925300,-18.0,-2.0,-3.0,2.0,0.0,-1.0,-2.0,-2.0,,,,,,,,,,,,
1689140535248920200,0.0,8.0,-2.0,-7.0,-1.0,0.0,3.0,17.0,,,,,,,,,,,,
1689140535250920600,-2.0,0.0,1.0,2.0,0.0,-8.0,-5.0,-35.0,,,,,,,,,,,,
1689140535251917700,-24.0,14.0,-3.0,-1.0,0.0,9.0,1.0,19.0,,,,,,,,,,,,
1689140535252918100,-8.0,-25.0,-4.0,-2.0,-2.0,-1.0,-10.0,-88.0,,,,,,,,,,,,
