,timestamp,left_data_Ac_X,left_data_Ac_Y,left_data_Ac_Z,left_data_Gy_X,left_data_Gy_Y,left_data_Gy_Z,left_data_flex_1,left_data_flex_2,left_data_flex_3,left_data_flex_4,left_data_flex_5
0,1690861076380391500,0.541089594,-0.081402861,9.279925346,-0.105785601,0.023448698,-0.012523737,343181.8438,340796.5938,302654.8125,202437.2188,298346.2813
1,1690861076381391500,0.538695395,-0.08379706,9.277531624,-0.105785601,0.023448698,-0.012523737,327453.0313,337500.0625,312802.4063,199780.4063,298734.1563
2,1690861076382391500,0.533906996,-0.08379706,9.277531624,-0.105785601,0.023448698,-0.012523737,332875.375,334252.3438,299122.9063,204914.3594,299902.3125
3,1690861076383391500,0.533906996,-0.081402861,9.282320023,-0.106052071,0.023448698,-0.012257273,320431.1563,349506.0313,299902.3125,202660.75,302654.8125
4,1690861076384391500,0.536301196,-0.076614454,9.287108421,-0.106052071,0.023182238,-0.012523737,346564.75,353991.0938,306249.9375,200219.9688,296802.3125
0,1690861076401378200,0.538695395,-0.088585466,9.275136948,-0.106052071,0.024248086,-0.012523737,337033.0313,352986.6875,306653.3438,200660.7344,294889.0
1,1690861076402378200,0.536301196,-0.086191259,9.272743225,-0.106052071,0.024248086,-0.012523737,342702.75,341747.4688,299122.9063,200660.7344,299122.9063
2,1690861076403378200,0.538695395,-0.086191259,9.267954826,-0.105785601,0.023981623,-0.012790199,321730.2188,344143.0625,313636.375,205597.0,299122.9063
3,1690861076404378200,0.541089594,-0.08379706,9.267954826,-0.106052071,0.023981623,-0.012790199,328347.2813,337033.0313,309090.9375,197169.7969,302654.8125
4,1690861076405378200,0.541089594,-0.086191259,9.26556015,-0.105785601,0.023981623,-0.012790199,327007.3125,352486.1563,292241.4063,197601.7813,304244.75
0,1690861076428363300,0.533906996,-0.086191259,9.284713745,-0.105785601,0.023448698,-0.012257273,340796.5938,365870.3125,303051.25,196739.1094,294129.0
1,1690861076429363300,0.531512797,-0.086191259,9.287108421,-0.105785601,0.023715161,-0.012523737,321296.2188,360112.4063,306249.9375,203333.3281,298346.2813
2,1690861076430363300,0.536301196,-0.086191259,9.287108421,-0.105785601,0.023981623,-0.012523737,327453.0313,340796.5938,315736.0,202214.0313,299122.9063
3,1690861076431363300,0.538695395,-0.088585466,9.289502144,-0.106052071,0.023715161,-0.012523737,323474.5625,335638.375,299902.3125,204687.4844,305445.5938
4,1690861076432363300,0.538695395,-0.088585466,9.287108421,-0.105785601,0.023715161,-0.012523737,322165.0,343181.8438,308682.5313,205141.5625,298734.1563
0,1690861076455346600,0.543483794,-0.08379706,9.277531624,-0.105785601,0.023715161,-0.012790199,323913.0625,337500.0625,306653.3438,201768.5625,299902.3125
1,1690861076456346600,0.541089594,-0.08379706,9.277531624,-0.105785601,0.023715161,-0.013056661,324792.5625,338906.6875,316158.5,203558.1875,299122.9063
2,1690861076457346600,0.541089594,-0.08379706,9.277531624,-0.106052071,0.023715161,-0.013056661,341271.4688,331962.0,316158.5,201324.5156,299902.3125
3,1690861076458346600,0.536301196,-0.079008654,9.275136948,-0.106318533,0.023715161,-0.013056661,344625.4375,338436.75,313636.375,199342.0625,302654.8125
4,1690861076459346600,0.531512797,-0.081402861,9.277531624,-0.106318533,0.023715161,-0.012790199,324352.375,356013.3125,312802.4063,202884.6094,303051.25
0,1690861076478333300,0.529118598,-0.081402861,9.287108421,-0.106318533,0.023448698,-0.012523737,329245.2813,348521.3438,290744.1875,202884.6094,303051.25
1,1690861076479333300,0.529118598,-0.081402861,9.284713745,-0.106052071,0.023715161,-0.012790199,348030.625,338906.6875,294129.0,198034.9063,296802.3125
2,1690861076480333300,0.526724398,-0.081402861,9.287108421,-0.106052071,0.023448698,-0.012523737,341747.4688,349506.0313,307057.6875,201324.5156,299122.9063
3,1690861076481333300,0.529118598,-0.08379706,9.287108421,-0.106052071,0.023448698,-0.012790199,326118.6563,340322.625,296802.3125,197818.2188,303846.0938
4,1690861076482333300,0.529118598,-0.08379706,9.287108421,-0.106052071,0.023448698,-0.013056661,327453.0313,353991.0938,309500.0313,201324.5156,299902.3125
0,1690861076500321500,0.541089594,-0.079008654,9.267954826,-0.106318533,0.022382848,-0.012790199,334252.3438,349506.0313,306653.3438,205597.0,299902.3125
1,1690861076501321500,0.541089594,-0.081402861,9.279925346,-0.106052071,0.023182238,-0.012790199,315314.5,337500.0625,297187.1875,204008.9063,296418.1875
