,timestamp,right_data_Ac_X,right_data_Ac_Y,right_data_Ac_Z,right_data_Gy_X,right_data_Gy_Y,right_data_Gy_Z,right_data_flex_1,right_data_flex_2,right_data_flex_3,right_data_flex_4,right_data_flex_5
1,1693677769894927200,-0.114921682,2.41455245,10.20648193,0.054091886,-0.027045943,0.037970904,13,28,-25,-24,46
2,1693677769895927200,-0.116118781,2.41335535,10.20528507,0.054091886,-0.027045943,0.038104136,20,41,-25,-24,54
3,1693677769896927200,-0.113724582,2.41694665,10.2028904,0.054091886,-0.02691271,0.038104136,17,30,-25,-24,51
4,1693677769897927200,-0.112527482,2.41694665,10.198102,0.054091886,-0.027045943,0.038237367,19,41,-21,-15,55
0,1693677769912911700,-0.120907187,2.41694665,10.20887566,0.054624807,-0.027045943,0.038370594,16,41,-23,-23,53
1,1693677769913911700,-0.119710088,2.41455245,10.20767879,0.054358348,-0.026779478,0.038370594,20,35,-24,-26,51
2,1693677769914911700,-0.117315881,2.41574955,10.20767879,0.054358348,-0.026779478,0.038370594,20,35,-24,-22,52
3,1693677769915911700,-0.114921682,2.41694665,10.20767879,0.054358348,-0.026779478,0.038370594,20,42,-21,-23,52
4,1693677769916911700,-0.111330383,2.419340849,10.20887566,0.054225113,-0.026513018,0.038370594,22,39,-20,-22,53
0,1693677769933900500,-0.118512981,2.412158251,10.22084713,0.054358348,-0.026646247,0.037437979,10,35,-30,-22,48
1,1693677769934900500,-0.116118781,2.408566952,10.22324085,0.054225113,-0.026779478,0.03757121,10,37,-33,-22,49
2,1693677769935900500,-0.111330383,2.407369852,10.22683239,0.054225113,-0.026779478,0.03757121,20,33,-21,-20,52
3,1693677769936900500,-0.114921682,2.407369852,10.22563553,0.054091886,-0.02691271,0.03757121,20,35,-17,-23,55
4,1693677769937900500,-0.112527482,2.409764051,10.22683239,0.054091886,-0.027045943,0.03757121,19,35,-24,-25,51
0,1693677769954888200,-0.114921682,2.410961151,10.21725559,0.054225113,-0.026779478,0.037970904,14,33,-17,-26,50
1,1693677769955888200,-0.116118781,2.406172752,10.21246719,0.054091886,-0.026513018,0.037837673,19,33,-18,-19,53
2,1693677769956888200,-0.117315881,2.404975653,10.20887566,0.053958651,-0.026379786,0.037970904,20,33,-21,-26,54
3,1693677769957888200,-0.117315881,2.402581453,10.2028904,0.053958651,-0.026513018,0.037837673,21,40,-24,-22,53
4,1693677769958888200,-0.118512981,2.402581453,10.20408726,0.053958651,-0.026513018,0.037837673,11,40,-17,-23,51
0,1693677769975875800,-0.118512981,2.41335535,10.21246719,0.054091886,-0.026513018,0.038104136,19,31,-22,-18,48
1,1693677769976875800,-0.116118781,2.41335535,10.21486187,0.053958651,-0.026646247,0.038237367,14,45,-20,-28,52
2,1693677769977875800,-0.116118781,2.41455245,10.21486187,0.054091886,-0.026779478,0.038237367,20,39,-21,-20,53
3,1693677769978875800,-0.114921682,2.41574955,10.21486187,0.054091886,-0.026646247,0.038237367,20,40,-25,-26,54
4,1693677769979875800,-0.114921682,2.418143749,10.21845245,0.054091886,-0.026513018,0.038370594,15,39,-22,-23,55
0,1693677769994865000,-0.105344877,2.41335535,10.21605873,0.054225113,-0.026513018,0.037970904,17,39,-29,-28,53
1,1693677769995865000,-0.105344877,2.41574955,10.21366405,0.054225113,-0.026513018,0.037837673,18,37,-21,-22,55
2,1693677769996865000,-0.110133275,2.41574955,10.21605873,0.054225113,-0.026646247,0.037970904,20,41,-19,-18,55
3,1693677769997865000,-0.111330383,2.41455245,10.21845245,0.054091886,-0.026779478,0.038104136,6,31,-30,-28,53
4,1693677769998865000,-0.111330383,2.41335535,10.21605873,0.054091886,-0.026646247,0.038104136,9,36,-28,-26,45
0,1693677770012855300,-0.113724582,2.412158251,10.20767879,0.053958651,-0.026379786,0.037437979,17,33,-21,-19,53
1,1693677770013855300,-0.113724582,2.408566952,10.20648193,0.053958651,-0.026246555,0.037437979,21,33,-19,-24,53
2,1693677770014855300,-0.116118781,2.407369852,10.2028904,0.053825419,-0.026379786,0.037437979,20,40,-25,-26,52
3,1693677770015855300,-0.114921682,2.406172752,10.20169353,0.053825419,-0.026379786,0.037437979,15,39,-23,-22,48
4,1693677770016855300,-0.116118781,2.408566952,10.19929886,0.054091886,-0.026646247,0.037437979,17,30,-23,-26,50
0,1693677770031846400,-0.113724582,2.418143749,10.22922707,0.054091886,-0.026779478,0.037970904,15,34,-21,-23,50
1,1693677770032846400,-0.108936176,2.419340849,10.22922707,0.054091886,-0.02691271,0.037970904,14,31,-19,-30,49
2,1693677770033846400,-0.107739076,2.418143749,10.23042393,0.054358348,-0.02691271,0.038104136,17,40,-29,-22,56
3,1693677770034846400,-0.106541976,2.41694665,10.22683239,0.054358348,-0.02691271,0.038104136,-11,41,-23,-19,55
4,1693677770035846400,-0.105344877,2.41574955,10.22563553,0.054225113,-0.027045943,0.037837673,18,41,-17,-19,51
0,1693677770051833000,-0.105344877,2.410961151,10.21366405,0.053958651,-0.026513018,0.03757121,19,39,-21,-20,50
1,1693677770052833000,-0.106541976,2.412158251,10.21007347,0.053825419,-0.026513018,0.037704438,10,36,-31,-22,53
2,1693677770053833000,-0.106541976,2.41335535,10.20528507,0.054091886,-0.026379786,0.037704438,19,37,-19,-24,55
3,1693677770054833000,-0.106541976,2.41574955,10.20408726,0.054225113,-0.026513018,0.037704438,18,42,-18,-22,50
4,1693677770055833000,-0.105344877,2.41574955,10.20887566,0.054225113,-0.026646247,0.037704438,15,39,-27,-23,52
0,1693677770070822500,-0.108936176,2.418143749,10.21725559,0.054358348,-0.026646247,0.037837673,9,31,-27,-20,54
1,1693677770071822500,-0.108936176,2.419340849,10.21845245,0.054358348,-0.026513018,0.03757121,15,41,-23,-22,57
2,1693677770072822500,-0.108936176,2.418143749,10.21965027,0.054225113,-0.026646247,0.03757121,20,36,-24,-24,54
3,1693677770073822500,-0.105344877,2.41574955,10.21845245,0.054358348,-0.026779478,0.03757121,17,47,-20,-26,53
4,1693677770074822500,-0.105344877,2.41335535,10.22084713,0.054358348,-0.02691271,0.037437979,11,39,-25,-23,55
0,1693677770089812300,-0.116118781,2.407369852,10.22324085,0.054624807,-0.027045943,0.037837673,7,30,-31,-34,42
1,1693677770090812300,-0.118512981,2.403778553,10.21845245,0.054758042,-0.026779478,0.037970904,7,30,-31,-30,40
2,1693677770091812300,-0.120907187,2.402581453,10.21965027,0.054491576,-0.02691271,0.038104136,13,31,-32,-28,42
3,1693677770092812300,-0.119710088,2.403778553,10.22084713,0.054491576,-0.02691271,0.038104136,13,31,-33,-33,39
4,1693677770093812300,-0.119710088,2.406172752,10.22324085,0.054358348,-0.026779478,0.038104136,19,39,-25,-22,55
0,1693677770107801100,-0.114921682,2.41574955,10.21725559,0.054358348,-0.026646247,0.037704438,-7,21,-35,-33,45
1,1693677770108801100,-0.116118781,2.41574955,10.22204399,0.054491576,-0.026646247,0.037837673,9,29,-34,-33,39
2,1693677770109801100,-0.119710088,2.41455245,10.22324085,0.054358348,-0.026646247,0.037970904,7,23,-34,-32,39
3,1693677770110801100,-0.119710088,2.41335535,10.21845245,0.054758042,-0.026779478,0.037837673,9,30,-28,-33,42
4,1693677770111801100,-0.120907187,2.412158251,10.21845245,0.054758042,-0.026779478,0.037837673,5,30,-34,-33,39
0,1693677770127789100,-0.106541976,2.420537949,10.21486187,0.054358348,-0.027045943,0.037837673,-5,30,-35,-34,37
1,1693677770128789100,-0.110133275,2.420537949,10.21246719,0.054225113,-0.027045943,0.037970904,-2,27,-34,-32,40
2,1693677770129789100,-0.113724582,2.418143749,10.21965027,0.054225113,-0.027179174,0.037704438,6,29,-34,-33,41
3,1693677770130789100,-0.111330383,2.419340849,10.21605873,0.054358348,-0.027179174,0.037837673,5,30,-32,-33,44
4,1693677770131789100,-0.108936176,2.418143749,10.22084713,0.054624807,-0.027312404,0.037704438,5,28,-34,-34,42
0,1693677770145778900,-0.113724582,2.410961151,10.21127033,0.054491576,-0.026513018,0.037837673,13,31,-25,-28,49
1,1693677770146778900,-0.114921682,2.412158251,10.21605873,0.054624807,-0.026246555,0.037704438,17,34,-29,-28,52
2,1693677770147778900,-0.114921682,2.408566952,10.22324085,0.054358348,-0.026246555,0.037704438,13,39,-24,-24,46
3,1693677770148778900,-0.114921682,2.408566952,10.22563553,0.054358348,-0.026113322,0.037837673,13,35,-23,-23,48
4,1693677770149778900,-0.114921682,2.41335535,10.22084713,0.054358348,-0.026246555,0.037837673,19,32,-28,-23,52
0,1693677770165770100,-0.112527482,2.41455245,10.20767879,0.054225113,-0.026246555,0.037704438,6,30,-29,-24,48
1,1693677770166770100,-0.116118781,2.41455245,10.20408726,0.054358348,-0.026379786,0.037704438,5,35,-28,-23,52
2,1693677770167770100,-0.114921682,2.41335535,10.20767879,0.054491576,-0.026246555,0.03757121,9,40,-28,-22,65
3,1693677770168770100,-0.112527482,2.41335535,10.20887566,0.054491576,-0.026379786,0.037704438,10,36,-27,-30,48
4,1693677770169770100,-0.113724582,2.409764051,10.21246719,0.054624807,-0.026513018,0.037837673,17,33,-32,-23,49
0,1693677770193755800,-0.112527482,2.404975653,10.22443867,0.054225113,-0.026513018,0.037837673,17,35,-28,-26,45
1,1693677770194755800,-0.110133275,2.404975653,10.22443867,0.054225113,-0.026646247,0.037970904,14,45,-20,-20,50
2,1693677770195755800,-0.106541976,2.401384354,10.22443867,0.054358348,-0.026646247,0.037970904,15,40,-21,-24,50
3,1693677770196755800,-0.107739076,2.400187254,10.22204399,0.054491576,-0.026779478,0.037837673,10,40,-22,-22,55
4,1693677770197755800,-0.106541976,2.397793055,10.21965027,0.054225113,-0.026646247,0.037704438,13,37,-21,-27,55
0,1693677770214739700,-0.111330383,2.418143749,10.21366405,0.054091886,-0.026779478,0.037704438,19,35,-28,-32,49
1,1693677770215739700,-0.110133275,2.41694665,10.21366405,0.054091886,-0.026779478,0.037704438,15,33,-24,-20,52
2,1693677770216739700,-0.108936176,2.41574955,10.21486187,0.054091886,-0.026779478,0.037704438,15,39,-24,-23,55
